date,open,high,low,close,volume
1993-01-01,99.50,99.50,97.39,98.28,1017393
1993-01-04,99.26,102.74,98.76,102.74,1848266
1993-01-05,102.53,103.32,102.38,103.08,720476
1993-01-06,103.30,105.69,103.30,105.17,1596461
1993-01-07,104.73,104.73,104.18,104.26,353198
1993-01-08,103.88,104.73,103.88,104.73,954257
1993-01-11,102.80,102.80,100.81,101.16,52046
1993-01-12,100.34,102.24,100.34,102.24,11587934
1993-01-13,102.36,103.75,102.36,103.22,4651758
1993-01-14,104.76,104.76,104.00,104.32,11434154
1993-01-15,104.16,106.65,104.16,106.65,25196
1993-01-18,106.14,109.43,106.14,109.43,1207331
1993-01-19,111.11,114.57,111.11,114.57,3955841
1993-01-20,113.74,115.44,113.74,114.87,313444
1993-01-21,116.55,116.95,116.26,116.78,203001
1993-01-22,115.07,115.07,113.21,113.75,297949
1993-01-25,112.66,112.66,110.84,110.84,110545
1993-01-26,110.09,110.76,109.48,110.76,1137683
1993-01-27,109.98,115.55,109.98,115.55,300406
1993-01-28,116.71,118.23,116.64,116.64,163346
1993-01-29,117.35,118.58,117.27,118.58,397245
1993-02-01,116.03,117.37,115.68,116.86,36137
1993-02-02,116.92,118.07,116.92,118.07,128101
1993-02-03,117.04,118.51,116.75,118.51,944020
1993-02-04,117.82,119.17,117.82,119.17,14198349
1993-02-05,119.31,120.12,119.07,119.07,1133500
1993-02-08,118.01,118.01,116.28,116.28,183768
1993-02-09,114.91,115.09,114.15,114.15,1379527
1993-02-10,113.17,113.17,111.55,111.55,611843
1993-02-11,110.88,110.88,109.50,109.50,33767
1993-02-12,109.59,109.59,106.32,106.32,357929
1993-02-15,105.95,107.21,104.02,104.02,509841
1993-02-16,103.52,103.62,101.30,103.00,2818708
1993-02-17,104.59,106.51,104.51,106.51,157095
1993-02-18,106.20,106.71,105.57,105.57,3241079
1993-02-19,107.07,107.88,105.30,107.88,2310970
1993-02-22,107.49,109.49,107.49,108.99,13320647
1993-02-23,108.42,110.58,108.42,110.58,1535985
1993-02-24,110.24,110.80,109.15,109.33,410440
1993-02-25,110.38,111.53,110.38,111.53,673428
1993-02-26,113.81,114.68,113.81,114.31,134640
1993-03-01,112.46,113.26,111.51,111.51,21335
1993-03-02,111.58,112.62,111.44,112.62,131994
1993-03-03,112.78,112.83,111.69,112.66,2986084
1993-03-04,111.31,111.31,108.12,108.85,814092
1993-03-05,109.21,111.36,109.21,111.36,1247681
1993-03-08,111.72,111.72,110.10,110.10,21812
1993-03-09,110.30,110.30,108.91,109.20,377440
1993-03-10,109.12,109.12,107.38,107.38,1386974
